word_Ni	word_Nj	A(Ni-Nj)
5	18	0.3584313802839069
7	293	0.10223749389808973
9	24	0.2716241137489887
12	13	0.21485081000766207
12	60	0.18667484296347991
22	125	0.1043989305131722
22	270	0.12240122569038195
23	41	0.12298730000770045
23	62	0.1262357835858789
25	201	0.1914011973096418
25	1033	0.1023385650611953
26	51	0.10829052099851524
28	833	0.1072618233381528
28	872	0.15407399911176692
28	1379	0.16872766844192782
28	1797	0.11133695951822113
28	2003	0.10664055518813001
28	2571	0.10163987227097697
29	198	0.14922716512991302
29	534	0.102477589628221
32	74	0.11624572049521778
32	162	0.12362047942583035
35	111	0.14716152909405292
35	191	0.10149369754633557
36	177	0.12410237285375188
36	1272	0.10179044381522
36	1388	0.12785612771350455
39	68	0.1693850523286812
39	557	0.17680053133889287
39	836	0.1105034854851078
45	2935	0.10491203270129522
47	1581	0.11312392866908125
50	362	0.11108631874260178
53	122	0.12265511527739885
57	1116	0.13394865098219713
57	1628	0.15617502142217654
57	1964	0.1378917088437313
65	1782	0.10266945526819501
68	381	0.12765976712490115
68	1159	0.10664646276293943
68	1371	0.12769360774892394
70	178	0.15828891095888964
73	164	0.11038661296054583
73	2564	0.1047815361309373
79	332	0.2125238886057474
82	2470	0.1555348125394062
83	638	0.2732925350253537
90	956	0.11602262449988653
93	1987	0.2016089245490504
93	2496	0.14132324914521238
93	2639	0.12042347885315308
93	3107	0.136722620311388
93	3117	0.1495447815968403
96	998	0.11955571535983905
100	1443	0.11399596694469695
103	1919	0.10199561973323536
105	212	0.12311493395380013
105	1262	0.11575371922979938
106	217	0.10524331106303167
106	493	0.14039704479317242
106	853	0.10009534227851004
106	1728	0.1495569121385081
111	2148	0.10571623667074588
115	824	0.15584329713236167
116	674	0.2400183013524184
116	740	0.1257510489681557
116	3291	0.1012302023526742
117	121	0.2849842716544282
117	238	0.10833309414261892
117	681	0.13833168367527748
117	1151	0.10244610383181227
120	134	0.12731357356881925
120	1660	0.1265353749246226
122	355	0.2787117419623231
125	1170	0.12693405260305454
128	569	0.12712818589675598
134	1390	0.13580548960906313
135	481	0.1525203671829071
135	1001	0.1902647552783084
135	2746	0.10966962174070496
137	1117	0.1440441326768773
140	3005	0.15078097227667958
142	191	0.21296763372227565
